ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,10.767,10.767,10.767,,,,,,,,,
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,24.454,28.94534,28.94534,28.94534,28.94534,28.94534,28.87733,28.87733,28.87733,28.87733,28.87733,28.87733
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,18.33096,18.33096,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,13.17898,13.17898,13.17898,13.17898
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,,,,,,,,,,,,
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,,,,,,,,,,,,
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,28.898242,27.705847,26.45734,25.898772,26.390125,25.531354,26.977223,25.978698,26.405909,28.099767,28.099767,28.099767
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,14.25436,14.25436,14.25436,14.25436,14.25436,14.25436,17.43837,17.43837,17.43837,17.43837,17.43837,17.43837
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,,,,,,,,,,,,
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,17.7,17.7,17.7,17.7,17.296,17.296,17.134,17.134,17.126,17.126,17.126,17.126
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,12.69666,13.84098,15.4998,15.50253,14.165,13.61598,14.77588,15.90224,13.39422,13.39422,14.93291,14.93291
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,13.24395,13.24395,14.14229,14.14229,14.14229,14.14229,14.14229,20.92933,20.92933,20.92933,20.92933,20.92933
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,11.92822,12.29837,12.29837,11.92036,12.25388,12.25388,12.03734,11.39067,11.00229,11.00229,10.30447,10.30447
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,23.61438,29.39195,29.39195,29.39195,30.29266,30.29266,30.29266,31.97436,31.97436,31.97436,31.97436,31.97436
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,24.18928,24.18928,24.18928,24.18928,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,,28.26605,28.26605,28.26605,15.65692,15.65692,15.65692,15.65692,15.24444,16.55655,16.55655,16.55655
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,15.4492,18.79969,17.7552,18.24153,19.95693,21.42273,22.19231,23.90426,21.61938,21.61938,23.00311,23.00311
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,,,,,,,,,,,,
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,,16.69773918,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,12.02035035,10.91539614,10.78175,10.78175,10.83848169,10.83848169,10.83848169,10.83848169,10.83848169,9.64549,9.64549,9.64549
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,38.157178,33.642938,35.305419,35.789912,35.394263,34.64197,33.497255,32.212262,29.133537,26.863258,26.863258,26.863258
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,41.236103,40.273233,40.655871,39.532759,38.620331,38.603968,40.538964,40.82554,41.636454,41.306376,41.306376,41.306376
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,,,,,,,,,,,,
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,25.09595,25.09595,21.00062092,21.00062092,21.00062092,21.00062092,21.00062092,19.95514103,19.95514103,19.95514103,19.95514103,19.95514103
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,55.511,55.511,55.511,55.511,55.511,,,,,,,
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459
CAN,Canada,America,Northern Hemisphere,Very High,,15,17.394,17.394,17.394,18.221,18.221,17.752,16.83,17.077,17.077,17.077,17.077,17.077
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,,13.24658,12.32452,11.10079,12.19519,12.19519,14.48262,14.48262,14.77567,14.77567,15.58172,15.58172
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,31.400611,30.182054,30.182054,29.810621,29.810621,28.209983,28.209983,28.273047,28.273047,28.273047,28.273047,28.273047
CHN,China,Asia,Northern Hemisphere,High,EAP,79,24.11692794,24.11692794,23.31946951,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,34.39171,34.39171,27.38935,27.38935,27.38935,27.38935,27.04145,27.04145,27.04145,27.04145,27.04145,27.04145
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,,23.11988,23.11988,23.1,35.86472,35.86472,35.86472,35.86472,34.98911,34.98911,34.98911,34.98911
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,31.15031,31.15031,31.15031,31.15031,28.21161,28.21161,28.21161,27.63249,27.63249,27.63249,27.63249,27.63249
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,27.436,27.436,30.692,30.692,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925
